Station 1
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
           30        -0.034211          -0.038899            0.053401   1374
           35        -0.034211          -0.038899            0.053401   1374
           40        -0.034211          -0.038899            0.053401   1374
           45        -0.034211          -0.038899            0.053401   1374
           50        -0.034211          -0.038899            0.053401   1374
           55        -0.034211          -0.038899            0.053401   1374
           60        -0.034211          -0.038899            0.053401   1374
           65        -0.034211          -0.038899            0.053401   1374
           70        -0.034211          -0.038899            0.053401   1374
           75        -0.034211          -0.038899            0.053401   1374
           80        -0.034211          -0.038899            0.053401   1374
           85        -0.034211          -0.038899            0.053401   1374
           90        -0.034211          -0.038899            0.053401   1374
           95        -0.034211          -0.038899            0.053401   1374
          100        -0.034211          -0.038899            0.053401   1374
          105        -0.034211          -0.038899            0.053401   1374
          110        -0.034211          -0.038899            0.053401   1374
          115        -0.034211          -0.038899            0.053401   1374
          120        -0.034211          -0.038899            0.053401   1374
          125        -0.034211          -0.038899            0.053401   1374
          130        -0.034211          -0.038899            0.053401   1374
          135        -0.034211          -0.038899            0.053401   1374
          140        -0.034211          -0.038899            0.053401   1374
          145        -0.034211          -0.038899            0.053401   1374
          150        -0.034211          -0.038899            0.053401   1374
          155        -0.034211          -0.038899            0.053401   1374
          160        -0.034211          -0.038899            0.053401   1374
          165        -0.034211          -0.038899            0.053401   1374
          170        -0.034211          -0.038899            0.053401   1374
          175        -0.034211          -0.038899            0.053401   1374
          180        -0.034211          -0.038899            0.053401   1374
          185        -0.034211          -0.038899            0.053401   1374
          190        -0.034211          -0.038899            0.053401   1374
          195        -0.034211          -0.038899            0.053401   1374
          200        -0.034211          -0.038899            0.053401   1374
Lowest standard deviation for SMAP: 0.0534 at 25 miles

==================================================

Station 5
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5        -0.090256          -0.094743            0.063233    891
           10        -0.089643          -0.092125            0.063263   1065
           15        -0.089616          -0.092121            0.063239   1066
           20        -0.089604          -0.092121            0.063246   1068
           25        -0.090019          -0.092391            0.063274   1088
           30        -0.090129          -0.092121            0.063234   1108
           35        -0.090210          -0.092125            0.063227   1115
           40        -0.090326          -0.092391            0.063316   1116
           45        -0.090258          -0.092125            0.063328   1117
