event_id,time_of_day,duration_hours,cooling_effect_C,recovery_time_hours
559,Afternoon,4.0,4.409000000000001,
560,Afternoon,3.0,0.0,
561,Afternoon,2.0,0.06800000000000006,
562,Morning,1.0,0.0,
563,Night/Early Morning,1.0,0.0,2.0
564,Morning,7.0,1.238,
565,Morning,1.0,0.0,
566,Afternoon,1.0,0.0,
567,Afternoon,4.0,4.649999999999999,
568,Morning,8.0,0.9700000000000006,
569,Night/Early Morning,1.0,0.0,
570,Night/Early Morning,1.0,0.0,
571,Morning,2.0,0.0,
572,Afternoon,1.0,0.0,
573,Afternoon,4.0,0.17999999999999972,3.0
574,Morning,1.0,0.0,
575,Night/Early Morning,2.0,0.6399999999999988,
576,Night/Early Morning,7.0,0.0,
577,Afternoon,1.0,0.0,
578,Night/Early Morning,1.0,0.0,3.0
579,Night/Early Morning,3.0,0.9899999999999984,2.0
580,Morning,1.0,0.0,1.0
581,Night/Early Morning,1.0,0.0,
582,Night/Early Morning,1.0,0.0,
583,Morning,2.0,0.06499999999999995,
584,Morning,1.0,0.0,
585,Afternoon,1.0,0.0,
586,Afternoon,2.0,0.2110000000000003,
587,Night/Early Morning,1.0,0.0,
588,Night/Early Morning,8.0,0.5609999999999999,
589,Night/Early Morning,3.0,0.7460000000000004,
590,Morning,2.0,0.23899999999999988,
591,Morning,1.0,0.0,
592,Afternoon,1.0,0.0,
593,Night/Early Morning,1.0,0.0,
594,Night/Early Morning,1.0,0.0,
595,Night/Early Morning,6.0,0.24299999999999944,
596,Morning,1.0,0.0,
597,Afternoon,1.0,0.0,
598,Night/Early Morning,4.0,5.119999999999999,
599,Morning,1.0,0.0,
600,Afternoon,4.0,1.959999999999999,
601,Night/Early Morning,5.0,1.1000000000000014,
602,Night/Early Morning,3.0,0.10999999999999943,
603,Morning,1.0,0.0,
604,Night/Early Morning,4.0,7.770000000000001,1.0
605,Morning,1.0,0.0,
606,Morning,3.0,1.7699999999999996,
607,Afternoon,9.0,0.19099999999999984,
608,Night/Early Morning,1.0,0.0,1.0
609,Morning,1.0,0.0,1.0
610,Morning,1.0,0.0,
611,Morning,1.0,0.0,
612,Afternoon,2.0,0.0,2.0
613,Morning,4.0,0.0,4.0
614,Night/Early Morning,1.0,0.0,
615,Afternoon,5.0,12.529,
616,Night/Early Morning,1.0,0.0,
617,Morning,5.0,0.23399999999999999,
618,Afternoon,3.0,0.0,
619,Night/Early Morning,1.0,0.0,1.0
620,Night/Early Morning,3.0,3.1700000000000017,
621,Morning,1.0,0.0,
622,Morning,2.0,0.0,
623,Afternoon,1.0,0.0,
624,Night/Early Morning,1.0,0.0,
625,Morning,1.0,0.0,
626,Afternoon,1.0,0.0,2.0
627,Afternoon,1.0,0.0,2.0
628,Afternoon,1.0,0.0,
629,Night/Early Morning,1.0,0.0,
630,Night/Early Morning,7.0,9.24,
631,Morning,1.0,0.0,
632,Night/Early Morning,1.0,0.0,
633,Night/Early Morning,6.0,3.4499999999999993,
634,Morning,2.0,0.0,1.0
635,Night/Early Morning,3.0,1.3200000000000003,
636,Morning,1.0,0.0,
637,Night/Early Morning,1.0,0.0,
638,Morning,1.0,0.0,
639,Afternoon,2.0,1.7399999999999984,1.0
640,Night/Early Morning,2.0,0.5199999999999996,
641,Night/Early Morning,1.0,0.0,
642,Afternoon,1.0,0.0,
643,Morning,4.0,1.6700000000000017,
644,Night/Early Morning,2.0,0.46000000000000085,
645,Night/Early Morning,1.0,0.0,
646,Night/Early Morning,1.0,0.0,
647,Morning,1.0,0.0,
648,Afternoon,1.0,0.0,
649,Night/Early Morning,1.0,0.0,
650,Afternoon,3.0,4.34,
651,Afternoon,3.0,6.0,
652,Morning,2.0,1.8599999999999994,
653,Afternoon,2.0,3.219999999999999,
654,Afternoon,1.0,0.0,
655,Morning,1.0,0.0,
656,Afternoon,3.0,0.29999999999999716,
657,Afternoon,2.0,3.120000000000001,
658,Night/Early Morning,5.0,3.6400000000000006,
659,Night/Early Morning,1.0,0.0,
660,Morning,2.0,0.0,
661,Night/Early Morning,8.0,1.5400000000000027,
662,Morning,2.0,0.8900000000000006,
663,Afternoon,2.0,2.09,
664,Night/Early Morning,1.0,0.0,2.0
665,Night/Early Morning,4.0,0.030000000000001137,
666,Afternoon,1.0,0.0,4.0
667,Morning,1.0,0.0,
668,Afternoon,1.0,0.0,
669,Night/Early Morning,1.0,0.0,
670,Night/Early Morning,1.0,0.0,
671,Night/Early Morning,2.0,0.19000000000000128,
672,Night/Early Morning,1.0,0.0,
673,Morning,3.0,0.0,3.0
674,Night/Early Morning,1.0,0.0,
675,Night/Early Morning,3.0,0.1700000000000017,
676,Morning,1.0,0.0,
677,Morning,1.0,0.0,3.0
678,Night/Early Morning,5.0,6.58,
679,Night/Early Morning,1.0,0.0,
680,Night/Early Morning,1.0,0.0,
681,Night/Early Morning,1.0,0.0,
682,Night/Early Morning,1.0,0.0,
683,Morning,1.0,0.0,
684,Afternoon,1.0,0.0,
685,Night/Early Morning,1.0,0.0,
686,Night/Early Morning,1.0,0.0,
687,Night/Early Morning,3.0,0.14400000000000002,
688,Morning,1.0,0.0,
689,Morning,11.0,2.188999999999999,
690,Night/Early Morning,1.0,0.0,
691,Morning,1.0,0.0,4.0
692,Afternoon,1.0,0.0,4.0
693,Morning,4.0,0.9499999999999993,
694,Morning,3.0,5.575,
695,Afternoon,2.0,0.13900000000000023,
696,Night/Early Morning,3.0,1.0650000000000004,
697,Night/Early Morning,6.0,2.293,
698,Morning,7.0,0.284,
