Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_5,Day cos,CNN,0.04372994229197502,0.11515314877033234,21.368297576904297
SWC_5,Day cos,RNN,0.03639420121908188,0.08232176303863525,15.763916969299316
SWC_5,Day cos,LSTM,0.05746428295969963,0.16781850159168243,22.900035858154297
SWC_5,Day cos,Autoregressive,0.07336590439081192,0.1534457951784134,25.760799407958984
SWC_5,Day cos,Bi-LSTM,0.04577065259218216,0.12128881365060806,24.168344497680664
SWC_5,Year sin,Baseline,0.06868962198495865,0.10699513554573059,18.387859344482422
SWC_5,Year sin,Multi-step Linear,0.06431114673614502,0.1573258638381958,31.26363754272461
SWC_5,Year sin,Multi-step Dense,0.035333484411239624,0.0813906192779541,14.894204139709473
SWC_5,Year sin,CNN,0.03671497851610184,0.08733558654785156,18.494428634643555
SWC_5,Year sin,RNN,0.037186820060014725,0.08151814341545105,14.82272720336914
SWC_5,Year sin,LSTM,0.04949810355901718,0.1402595043182373,25.342525482177734
SWC_5,Year sin,Autoregressive,0.09262262284755707,0.1970144808292389,26.56356430053711
SWC_5,Year sin,Bi-LSTM,0.05020203813910484,0.13490264117717743,21.280447006225586
SWC_5,Year cos,Baseline,0.06868959218263626,0.10699513554573059,18.387849807739258
SWC_5,Year cos,Multi-step Linear,0.07111514359712601,0.1752004772424698,33.81110382080078
SWC_5,Year cos,Multi-step Dense,0.03744489699602127,0.08407387882471085,14.329022407531738
SWC_5,Year cos,CNN,0.04058666527271271,0.09628857672214508,16.76082420349121
SWC_5,Year cos,RNN,0.03609544411301613,0.08312062174081802,13.035815238952637
SWC_5,Year cos,LSTM,0.04409513622522354,0.12043831497430801,17.17598533630371
SWC_5,Year cos,Autoregressive,0.08109811693429947,0.17219918966293335,36.22945785522461
SWC_5,Year cos,Bi-LSTM,0.05233306065201759,0.1426675170660019,29.00092887878418
SWC_10,Baseline,Baseline,0.043878223747015,0.08710718899965286,14.520025253295898
SWC_10,Baseline,Multi-step Linear,0.02388681098818779,0.04948800802230835,8.265222549438477
SWC_10,Baseline,Multi-step Dense,0.02468407340347767,0.07032755762338638,12.519895553588867
SWC_10,Baseline,CNN,0.02935211732983589,0.08546048402786255,12.613465309143066
SWC_10,Baseline,RNN,0.02515758015215397,0.06950324773788452,14.493802070617676
SWC_10,Baseline,LSTM,0.04193408787250519,0.13062679767608643,17.123519897460938
SWC_10,Baseline,Autoregressive,0.08083739876747131,0.21346968412399292,24.898317337036133
SWC_10,Baseline,Bi-LSTM,0.03392446041107178,0.11308127641677856,17.5999698638916
SWC_10,Ppt,Baseline,3.7185330390930176,1.5772117376327515,198.27511596679688
SWC_10,Ppt,Multi-step Linear,0.02419794164597988,0.053050536662340164,9.15585708618164
SWC_10,Ppt,Multi-step Dense,0.025381876155734062,0.06998777389526367,13.089617729187012
SWC_10,Ppt,CNN,0.0291446540504694,0.08079268038272858,12.27385425567627
SWC_10,Ppt,RNN,0.02614765614271164,0.07136369496583939,13.143290519714355
SWC_10,Ppt,LSTM,0.03918838873505592,0.11709984391927719,15.252056121826172
SWC_10,Ppt,Autoregressive,0.07371142506599426,0.18355529010295868,25.01099967956543
SWC_10,Ppt,Bi-LSTM,0.0389387346804142,0.12338335812091827,22.5982666015625
SWC_10,T_5,Baseline,0.043878212571144104,0.08710718899965286,14.520015716552734
SWC_10,T_5,Multi-step Linear,0.024079030379652977,0.05162167176604271,8.944053649902344
SWC_10,T_5,Multi-step Dense,0.027110617607831955,0.07823352515697479,11.34250545501709
SWC_10,T_5,CNN,0.02583172358572483,0.07595203071832657,11.477063179016113
SWC_10,T_5,RNN,0.02618006244301796,0.07589104026556015,11.768621444702148
SWC_10,T_5,LSTM,0.053413718938827515,0.1731186807155609,18.16895294189453
SWC_10,T_5,Autoregressive,0.06137537211179733,0.1651417464017868,19.247194290161133
SWC_10,T_5,Bi-LSTM,0.029813218861818314,0.09807948023080826,15.785099983215332
SWC_10,T_10,Baseline,0.0438782200217247,0.08710718899965286,14.52002239227295
SWC_10,T_10,Multi-step Linear,0.07488835602998734,0.21872106194496155,27.722366333007812
SWC_10,T_10,Multi-step Dense,0.026094375178217888,0.07366917282342911,11.181991577148438
SWC_10,T_10,CNN,0.03370891883969307,0.11306239664554596,15.08519172668457
SWC_10,T_10,RNN,0.023921964690089226,0.06996769458055496,10.590749740600586
SWC_10,T_10,LSTM,0.03077135793864727,0.10571829229593277,16.450326919555664
SWC_10,T_10,Autoregressive,0.05824105069041252,0.15283797681331635,17.54677963256836
SWC_10,T_10,Bi-LSTM,0.029401343315839767,0.09586742520332336,15.104212760925293
SWC_10,T_20,Baseline,0.043878212571144104,0.08710721135139465,14.520023345947266
SWC_10,T_20,Multi-step Linear,0.07791687548160553,0.22069916129112244,29.012786865234375
SWC_10,T_20,Multi-step Dense,0.02783222496509552,0.08422905951738358,13.509258270263672
SWC_10,T_20,CNN,0.027251392602920532,0.08445970714092255,12.59264850616455
SWC_10,T_20,RNN,0.03301103785634041,0.11010405421257019,16.864364624023438
SWC_10,T_20,LSTM,0.03469063341617584,0.10802020132541656,15.437455177307129
SWC_10,T_20,Autoregressive,0.054072603583335876,0.14036919176578522,16.89670181274414
SWC_10,T_20,Bi-LSTM,0.04978099465370178,0.15338841080665588,27.860231399536133
SWC_10,T_50,Baseline,0.043878212571144104,0.08710718154907227,14.520015716552734
SWC_10,T_50,Multi-step Linear,0.07421272993087769,0.21434903144836426,29.19293975830078
SWC_10,T_50,Multi-step Dense,0.025359902530908585,0.07415354996919632,11.92003059387207
SWC_10,T_50,CNN,0.02602977864444256,0.07753811031579971,12.47431468963623
SWC_10,T_50,RNN,0.029018796980381012,0.09168367832899094,14.94898509979248
SWC_10,T_50,LSTM,0.04098408296704292,0.13311408460140228,16.383277893066406
SWC_10,T_50,Autoregressive,0.052643872797489166,0.13721434772014618,17.471450805664062
SWC_10,T_50,Bi-LSTM,0.04147427901625633,0.12764063477516174,26.513442993164062
SWC_10,Tair,Baseline,0.0438782274723053,0.08710716664791107,14.52002239227295
SWC_10,Tair,Multi-step Linear,0.07509519159793854,0.2097451537847519,27.564075469970703
SWC_10,Tair,Multi-step Dense,0.03133194148540497,0.096286341547966,11.970114707946777
SWC_10,Tair,CNN,0.029195595532655716,0.08977480977773666,13.08163833618164
SWC_10,Tair,RNN,0.02489144541323185,0.07247845083475113,13.60404109954834
SWC_10,Tair,LSTM,0.06368454545736313,0.2013227641582489,22.31668472290039
SWC_10,Tair,Autoregressive,0.053948771208524704,0.13764311373233795,19.83414649963379
SWC_10,Tair,Bi-LSTM,0.03319970890879631,0.11248239129781723,18.487388610839844
SWC_10,RH,Baseline,0.0438782162964344,0.08710718899965286,14.52002239227295
SWC_10,RH,Multi-step Linear,0.09462644159793854,0.24485251307487488,24.605884552001953
SWC_10,RH,Multi-step Dense,0.02332906983792782,0.05792680382728577,8.794666290283203
SWC_10,RH,CNN,0.025853732600808144,0.07560073584318161,11.332441329956055
SWC_10,RH,RNN,0.024037467315793037,0.07035081833600998,13.230191230773926
SWC_10,RH,LSTM,0.025990640744566917,0.0851825475692749,12.992536544799805
SWC_10,RH,Autoregressive,0.05752081796526909,0.14740297198295593,17.706655502319336
SWC_10,RH,Bi-LSTM,0.032491348683834076,0.09749189764261246,17.103628158569336
SWC_10,Srad,Baseline,0.043878231197595596,0.08710718899965286,14.520026206970215
SWC_10,Srad,Multi-step Linear,0.07019912451505661,0.20052854716777802,28.345548629760742
SWC_10,Srad,Multi-step Dense,0.024710018187761307,0.06944693624973297,11.389488220214844
