# Configuration:
# Stations: Station1, Station2
# Target: Sat_SM_AMSR
# Model Type: lstm
# Steps: 7
#
stations,target,model_type,n_steps,features,mse,mae,mae_percentage
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0009955194744364377,0.023560407423219083,18.405913315123005
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Windspeed', 'Winddirection')",0.00105436870977321,0.02383236305034968,18.457401229327875
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0011268995128566682,0.02359729421827431,18.457845161617715
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Windspeed', 'Winddirection')",0.0010674960150576969,0.023402832759291704,18.47497594570445
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Winddirection', 'distance_AMSR')",0.0011076151912841575,0.02343051362888553,18.480976658770295
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0011369380590930225,0.02377162843211077,18.54957273009901
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0012299039354026634,0.023682058104984784,18.61747380671163
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.001223072812139586,0.02442835829860665,18.646174672064152
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Windspeed', 'Winddirection')",0.0011332095943007209,0.02400375078321215,18.689464363016906
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.001152694016058357,0.024445891824134473,18.73925239963817
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0011791135203232613,0.02457855301407566,18.828976400094184
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection')",0.001163522954290585,0.024248398150101654,19.047563660594573
