target,model_type,n_steps,offset,features,mse,mae,mae_percentage
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'Tair', 'RH', 'Windspeed', 'distance_SMAP')",0.0008019174381494444,0.020294981801424538,13.68450506616205
Sat_SM_SMAP,lstm,7,7,"('Ppt',)",0.0008019301189518877,0.02179944169741036,14.79125481082778
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'distance_SMAP')",0.0008019916079164719,0.019930896161636385,13.22675928897851
Sat_SM_SMAP,autoregressive,2,2,"('RH', 'Winddirection', 'distance_SMAP')",0.0008024153534418713,0.02031973569450332,13.714145469377693
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0008024237025114648,0.0202716248952196,13.77421518759119
Sat_SM_SMAP,autoregressive,7,7,"('Tair',)",0.0008026126076094923,0.021965658106624736,15.098988456767163
Sat_SM_SMAP,autoregressive,2,2,"('RH', 'distance_SMAP')",0.0008027687951681254,0.02053735011596403,13.90040731956384
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'distance_SMAP')",0.0008032009341558088,0.021538048992082632,14.543498206952101
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Windspeed', 'distance_SMAP')",0.0008037178294412115,0.02156299423148309,14.617318454550842
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection')",0.0008037408645803771,0.022031485202509474,14.946791702452366
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH', 'Winddirection', 'distance_SMAP')",0.000803965307200714,0.020479702988586042,13.810193554239673
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'Windspeed', 'Winddirection')",0.0008044200713913464,0.02051803383058665,13.818020211747589
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair', 'distance_SMAP')",0.0008044298493872764,0.021774594326192668,14.852819997783447
Sat_SM_SMAP,lstm,7,7,"('Ppt', 'distance_SMAP')",0.0008047303689090522,0.02169865809192718,14.74167641446695
Sat_SM_SMAP,autoregressive,2,2,"('RH',)",0.0008049073945202591,0.020609332888623915,13.95920437545914
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Winddirection', 'distance_SMAP')",0.0008056292357006041,0.019898688174454317,13.251251727016353
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'RH', 'Winddirection')",0.0008060830536884987,0.02200522767570259,14.936374298863713
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH', 'Windspeed')",0.000806232628254984,0.020471483538731464,13.760422690559743
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'Winddirection', 'distance_SMAP')",0.000806457714412391,0.020516341821635465,13.891458373210048
