========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:16
========================================
"TOA5","CR1000_1","CR1000","98563","CR1000.Std.32.05","CPU:CR1000_1v3_onswitch.CR1","43335","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2022-06-15 14:00:00",170,0,29.21,55.58,3.642,181.2,569.6,0.494,3.152
"2022-06-15 15:00:00",171,0,27.97,62.05,2.459,186.7,120.1,0.174,2.666
"2022-06-15 16:00:00",172,0,28.78,55.23,2.296,192,271.3,0.266,2.026
"2022-06-15 17:00:00",173,0,30.2,48.23,2.41,186.3,272.8,0.269,1.302
"2022-06-15 18:00:00",174,0,30.31,53.53,3.987,169.1,260.3,0.293,0.566
"2022-06-15 19:00:00",175,0,29.83,54.34,3.618,168.1,128.9,0.184,0.054
"2022-06-15 20:00:00",176,0,29.34,53.75,3.177,170.2,21.24,0.087,0
"2022-06-15 21:00:00",177,0,28.26,57.59,2.221,169.6,0,0.054,0
"2022-06-15 22:00:00",178,0,27.87,58.25,2.823,172.5,0,0.064,0
"2022-06-15 23:00:00",179,0,27.25,71.94,3.883,173.6,0,0.061,0
"2022-06-16 00:00:00",180,0,25.86,78.71,3.152,180.6,0,0.033,0
"2022-06-16 01:00:00",181,0,24.69,84.1,2.992,182.5,0,0.021,0
"2022-06-16 02:00:00",182,0,23.7,86.2,2.572,189.4,0,0.01,0
"2022-06-16 03:00:00",183,0,23,85.5,2.199,186.1,0,0.008,0
"2022-06-16 04:00:00",184,0,22.38,88.3,2.243,184.7,0,0.005,0
"2022-06-16 05:00:00",185,0,21.95,91,2.241,190.6,0,0.001,0.025
"2022-06-16 06:00:00",186,0,21.52,92.9,1.846,190.3,4.78,0.016,0.439
"2022-06-16 07:00:00",187,0,21.64,92.2,1.949,192.4,73.99,0.059,1.157
"2022-06-16 08:00:00",188,0,22.46,83.7,1.855,192.3,158.4,0.117,1.89
"2022-06-16 09:00:00",189,0,25.9,57.93,2.633,196.8,500.5,0.38,2.562
"2022-06-16 10:00:00",190,0,28.89,45.63,3.035,191.8,732.3,0.598,3.109
"2022-06-16 11:00:00",191,0,30.73,36.96,3.155,188.1,876,0.738,3.472
"2022-06-16 12:00:00",192,0,32.94,29.12,2.457,197.9,970,0.821,3.626
"2022-06-16 13:00:00",193,0,34.21,27.44,2.092,188.5,996,0.84,3.538
"2022-06-16 14:00:00",194,0,35,21.05,3.228,178.9,984,0.893,3.244
"2022-06-16 15:00:00",195,0,35.4,21.92,3.669,173.4,918,0.878,2.77
