,ar_bi_lstm,y_true,shift_bl,ar_lstm,cnn,lstm,bi_lstm
213,0.24099784,0.1591576229671049,0.251940230087976,0.2516973,0.18514599,0.31272224,0.23795016
214,0.24177475,0.1591576229671049,0.251940230087976,0.25190407,0.18297052,0.3104725,0.23406112
215,0.24309157,0.1591576229671049,0.2577391430330306,0.25217143,0.19000706,0.31079927,0.23236743
216,0.24202548,0.1591576229671049,0.2577391430330306,0.25037256,0.19784191,0.31176773,0.22805801
217,0.24100085,0.1591576229671049,0.2577391430330306,0.24869987,0.2062719,0.31262133,0.22308545
218,0.24000244,0.1591576229671049,0.263538055978085,0.24633545,0.20785189,0.31391847,0.22134735
219,0.2383344,0.1591576229671049,0.263538055978085,0.242645,0.2083101,0.3142057,0.2203665
220,0.23766539,0.1591576229671049,0.263538055978085,0.24095339,0.21400371,0.31363568,0.21926098
221,0.23710357,0.1591576229671049,0.2693369689231394,0.2402331,0.21517713,0.31167427,0.21864852
222,0.23671801,0.1591576229671049,0.2693369689231394,0.24004765,0.21473747,0.30887848,0.21758227
223,0.23801337,0.1591576229671049,0.2693369689231394,0.2408666,0.2199634,0.3067487,0.22074783
224,0.23702563,0.1591576229671049,0.2693369689231394,0.24100672,0.21853493,0.30484915,0.22048649
225,0.23708795,0.1591576229671049,0.2751358818681939,0.24104258,0.21422923,0.30284008,0.22014195
226,0.23749824,0.1591576229671049,0.2751358818681939,0.2417958,0.21036065,0.30176207,0.22103071
227,0.23816714,0.1591576229671049,0.2751358818681939,0.24241553,0.22294259,0.3022382,0.22398491
228,0.23844893,0.1591576229671049,0.2809347948132483,0.24274586,0.2669583,0.30408326,0.22756052
229,0.23958133,0.1591576229671049,0.2809347948132483,0.24419345,0.24336831,0.30769554,0.23304145
230,0.2396243,0.1591576229671049,0.2809347948132483,0.24535246,0.24075451,0.310016,0.23322946
231,0.23933397,0.1591576229671049,0.2809347948132483,0.2471893,0.21595861,0.31215638,0.23520431
232,0.24348918,0.1591576229671049,0.2867337077583027,0.25204703,0.20765609,0.3222265,0.25053602
233,0.24562642,0.1591576229671049,0.2867337077583027,0.25577483,0.17580268,0.33684996,0.25924867
234,0.24681161,0.1591576229671049,0.2867337077583027,0.2562802,0.14178579,0.3460478,0.25574917
235,0.24545771,0.1591576229671049,0.2867337077583027,0.2540174,0.16926825,0.338406,0.24623637
236,0.24351016,0.1591576229671049,0.2925326207033573,0.24930443,0.16669571,0.33488545,0.24053162
237,0.24221732,0.1591576229671049,0.2925326207033573,0.24660154,0.15569644,0.32985157,0.23375677
238,0.2422315,0.1591576229671049,0.2925326207033573,0.24530639,0.14898652,0.32607087,0.22931536
239,0.24175252,0.1591576229671049,0.2983315336484117,0.2440677,0.14511576,0.32457864,0.22532122
240,0.24108864,0.1591576229671049,0.2983315336484117,0.2421437,0.14226002,0.3246259,0.22246328
241,0.24013147,0.1591576229671049,0.2983315336484117,0.23977524,0.14549863,0.32577035,0.22019692
242,0.23873894,0.1591576229671049,0.2983315336484117,0.23738621,0.14925411,0.32779488,0.21729046
243,0.23711042,0.1591576229671049,0.3041304465934661,0.23529215,0.13966283,0.32893622,0.21378072
244,0.23584335,0.1591576229671049,0.3041304465934661,0.23387183,0.14027427,0.32808334,0.21039386
245,0.23528688,0.1591576229671049,0.3041304465934661,0.2330391,0.13773243,0.32709682,0.20849381
246,0.23615406,0.1591576229671049,0.3041304465934661,0.23464344,0.14440186,0.3244391,0.20739585
247,0.23777156,0.1591576229671049,0.3041304465934661,0.23648603,0.147951,0.32180977,0.21111014
248,0.23835342,0.1591576229671049,0.3099293595385206,0.23913148,0.15873447,0.31947303,0.21207209
249,0.24053247,0.1591576229671049,0.3099293595385206,0.24205376,0.16855127,0.31729725,0.2164279
250,0.24144804,0.1591576229671049,0.3099293595385206,0.24459694,0.16465469,0.31672442,0.21914291
251,0.242604,0.1591576229671049,0.3099293595385206,0.24537508,0.16837095,0.31385347,0.21382701
252,0.24282277,0.1591576229671049,0.3099293595385206,0.24585015,0.17247127,0.30789557,0.20420866
253,0.24431466,0.1533587100220503,0.3099293595385206,0.24755101,0.1640693,0.30110383,0.19758812
254,0.2466772,0.1533587100220503,0.3099293595385206,0.24989909,0.16492793,0.29430965,0.19329388
255,0.24891983,0.1533587100220503,0.3099293595385206,0.253324,0.15616465,0.2896535,0.18955447
256,0.25195068,0.1533587100220503,0.3099293595385206,0.25587362,0.15800771,0.28754148,0.18949856
257,0.25340304,0.1533587100220503,0.315728272483575,0.2580326,0.15384462,0.28899574,0.19811776
258,0.2540867,0.1533587100220503,0.315728272483575,0.25604534,0.15359817,0.29240796,0.20438373
259,0.25250658,0.1533587100220503,0.315728272483575,0.25479382,0.14952552,0.29575434,0.20775849
260,0.25039765,0.1533587100220503,0.315728272483575,0.25306144,0.14055865,0.29811558,0.20828071
261,0.24886155,0.1533587100220503,0.315728272483575,0.25193578,0.1390368,0.29920325,0.20736666
262,0.24765708,0.1533587100220503,0.3215271854286295,0.25098532,0.13450995,0.29978403,0.20642288
263,0.24554859,0.1533587100220503,0.3215271854286295,0.24936983,0.13566774,0.30012324,0.20480007
264,0.24373828,0.1533587100220503,0.3215271854286295,0.2471927,0.14105764,0.30032226,0.2031871
265,0.24183843,0.1533587100220503,0.3215271854286295,0.24459442,0.13950421,0.3002995,0.20144396
266,0.23941483,0.1533587100220503,0.3215271854286295,0.24144685,0.13864158,0.29963258,0.19934492
267,0.23788033,0.1533587100220503,0.3215271854286295,0.2383818,0.14313877,0.2982125,0.19834782
268,0.2363304,0.1533587100220503,0.3215271854286295,0.2359382,0.14569493,0.29608,0.19840476
269,0.2355697,0.1533587100220503,0.327326098373684,0.23455791,0.14576647,0.29316404,0.19913292
270,0.2347924,0.1533587100220503,0.327326098373684,0.23430449,0.15111837,0.28956282,0.19825603
271,0.2350662,0.1533587100220503,0.327326098373684,0.23431416,0.15444146,0.28596956,0.19891487
272,0.2357697,0.1533587100220503,0.327326098373684,0.23493196,0.1619542,0.28306654,0.20031069
273,0.23611046,0.1533587100220503,0.327326098373684,0.23519099,0.17013447,0.28102267,0.2016164
274,0.23775457,0.1533587100220503,0.327326098373684,0.23535503,0.16192289,0.27860102,0.20007958
275,0.24039592,0.1533587100220503,0.327326098373684,0.23712139,0.1654398,0.27603427,0.1970217
