model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
arima,17,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 2, 'q': 2, 'seasonal': True}",168,All,0.05361444864214899,0.04523974167812143,0.2647824412673924,0.35500021903453044,
arima,18,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 2, 'q': 2, 'seasonal': False}",48,All,0.05361444864214899,0.04523974167812143,0.2647824412673924,0.35500021903453044,
arima,18,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 2, 'q': 2, 'seasonal': False}",72,All,0.05361444864214899,0.04523974167812143,0.2647824412673924,0.35500021903453044,
arima,18,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 2, 'q': 2, 'seasonal': False}",168,All,0.05361444864214899,0.04523974167812143,0.2647824412673924,0.35500021903453044,
arima,19,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 0, 'q': 0, 'seasonal': True}",48,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,19,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 0, 'q': 0, 'seasonal': True}",72,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,19,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 0, 'q': 0, 'seasonal': True}",168,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,20,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 0, 'q': 0, 'seasonal': False}",48,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,20,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 0, 'q': 0, 'seasonal': False}",72,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,20,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 0, 'q': 0, 'seasonal': False}",168,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,21,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 0, 'q': 1, 'seasonal': True}",48,All,0.0834570815904645,0.06989023691904886,0.42248191567672033,,
arima,21,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 0, 'q': 1, 'seasonal': True}",72,All,0.0834570815904645,0.06989023691904886,0.42248191567672033,,
arima,21,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 0, 'q': 1, 'seasonal': True}",168,All,0.0834570815904645,0.06989023691904886,0.42248191567672033,,
arima,22,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 0, 'q': 1, 'seasonal': False}",48,All,0.0834570815904645,0.06989023691904886,0.42248191567672033,,
arima,22,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 0, 'q': 1, 'seasonal': False}",72,All,0.0834570815904645,0.06989023691904886,0.42248191567672033,,
arima,22,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 0, 'q': 1, 'seasonal': False}",168,All,0.0834570815904645,0.06989023691904886,0.42248191567672033,,
arima,23,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 0, 'q': 2, 'seasonal': True}",48,All,0.08345707637988832,0.0698902318769616,0.4224818869965437,-0.015017279370272396,
arima,23,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 0, 'q': 2, 'seasonal': True}",72,All,0.08345707637988832,0.0698902318769616,0.4224818869965437,-0.015017279370272396,
arima,23,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 0, 'q': 2, 'seasonal': True}",168,All,0.08345707637988832,0.0698902318769616,0.4224818869965437,-0.015017279370272396,
arima,24,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 0, 'q': 2, 'seasonal': False}",48,All,0.08345707637988832,0.0698902318769616,0.4224818869965437,-0.015017279370272396,
arima,24,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 0, 'q': 2, 'seasonal': False}",72,All,0.08345707637988832,0.0698902318769616,0.4224818869965437,-0.015017279370272396,
arima,24,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 0, 'q': 2, 'seasonal': False}",168,All,0.08345707637988832,0.0698902318769616,0.4224818869965437,-0.015017279370272396,
arima,25,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 1, 'q': 0, 'seasonal': True}",48,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,25,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 1, 'q': 0, 'seasonal': True}",72,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,25,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 1, 'q': 0, 'seasonal': True}",168,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,26,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 1, 'q': 0, 'seasonal': False}",48,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,26,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 1, 'q': 0, 'seasonal': False}",72,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,26,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 1, 'q': 0, 'seasonal': False}",168,All,0.08345708159499099,0.06989023692342912,0.4224819157016357,,
arima,27,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 1, 'q': 1, 'seasonal': True}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,27,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 1, 'q': 1, 'seasonal': True}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,27,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 1, 'q': 1, 'seasonal': True}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,28,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 1, 'q': 1, 'seasonal': False}",48,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,28,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 1, 'q': 1, 'seasonal': False}",72,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,28,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 1, 'q': 1, 'seasonal': False}",168,All,0.08345704559269117,0.06989020208527427,0.42248171753682245,-0.011594136614511615,
arima,29,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 1, 'q': 2, 'seasonal': True}",48,All,0.08345714879834866,0.06989030396650707,0.42248229303059365,-0.02350937157431558,
arima,29,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 1, 'q': 2, 'seasonal': True}",72,All,0.08345714879834866,0.06989030396650707,0.42248229303059365,-0.02350937157431558,
arima,29,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 1, 'q': 2, 'seasonal': True}",168,All,0.08345714879834866,0.06989030396650707,0.42248229303059365,-0.02350937157431558,
arima,30,ARIMA | Horizon=48 | Season=All,"{'d': 1, 'p': 1, 'q': 2, 'seasonal': False}",48,All,0.08345714879834866,0.06989030396650707,0.42248229303059365,-0.02350937157431558,
arima,30,ARIMA | Horizon=72 | Season=All,"{'d': 1, 'p': 1, 'q': 2, 'seasonal': False}",72,All,0.08345714879834866,0.06989030396650707,0.42248229303059365,-0.02350937157431558,
arima,30,ARIMA | Horizon=168 | Season=All,"{'d': 1, 'p': 1, 'q': 2, 'seasonal': False}",168,All,0.08345714879834866,0.06989030396650707,0.42248229303059365,-0.02350937157431558,
